origin,person,personal-id,sampling_event_code_2022,molecular-id_AHE,Subfamily,tribe,tribe_uncert,subtribe,genus,genus_uncert,species,species_uncert,sex,sex_uncert,date_DNAextraction,year,country,Date,collector,collection_Method,Country,cooY,cooX,altitude,location,AHE1,AHE1 length,AHE-BLAST,AHE-BLAST hit,AHE-identity(coverage),iPhycl,AHE1 iPhycl-Ca. Phytoplasma ass.,AHE1 iPhycl-16S group/subgroup classification,RFLP unique restriction enzymes,AHE2 length,AHE1-AHE2,AHE2 iPhycl-Ca. Phytoplasma ass.,AHE2 iPhycl-16S group/subgroup classification,CAT-AHE,CATcons-AHE,AHE probe kit 2,qPCR,qPCR-Cq,CAT-qPCR
GoLife,,50-4.1,,,Deltocephalinae,Athysanini,,,Atanus,,n.sp.BR1,,M,,,2015,Brazil,16-Mar-15,C.H. Dietrich,sweep,Brazil,"20°05'55.6""S","43°29'12.4""W",1280,"MG, Santuariodo Caraça, Lobo Guará Trl., sweep",,,,,,,,,,,,,,,,,pos,33.85,
GoLife,,50-5.1,,,Deltocephalinae,Scaphoideini,,,n.gen.AU3,,n.sp.1,,M,,,2015,Australia,21-Feb-15,C.H. Dietrich,Hg light,Australia,"27°27'42.8""S","152°57'16.6""E",194,"QLDBrisbane, Mt. Coot-thaReservoir Trail",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-6.1,,,Deltocephalinae,Scaphoideini,,,Melanetettix,,semeraroae,,M,,,2015,Australia,3 iii 2015,K.P. Johnson,,Australia,missing,,,"QLD Iron Range, Cook's",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-7.1,,,Deltocephalinae,Limotettigini,,,Limotettix,,cuneatus,,M,,,2020,Usa,2-Jul-20,C.H. Dietrich,sweep,USA,"40°22'41.2""N","89°55'41.0""W",,"IL: Mason Co., Sand Ridge St. For.",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-8.1,,,Deltocephalinae,Punctulini,,,Taveunius,,megapunctatus,,M,,,,Fiji,missing,,,Fiji,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,50-9.1,,,Deltocephalinae,Chiasmini,,,Athysanella,,texana,,M,,,2020,Usa,18-VII-2020,C.H. Dietrich,sweep,USA,"39°40'22.0""N","99°08'30.9""W",,Kansas,,,,,,,,,,,,,,,,,pos,34.28,
GoLife,,50-12.1,,,Deltocephalinae,Scaphytopiini,,,Scaphytopius,,acutus,,M,,,2020,Usa,21-Jul-20,C.H. Dietrich,,USA,missing,CO20-2,,"Colorado, Larimer Co., Cameron Pass",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-13.1,,,Deltocephalinae,Paralimnini,,,Pasaremus,,concentricus,,M,,,2020,Usa,21-Jul-20,C.H. Dietrich,,USA,missing,CO20-2,,"Colorado, Larimer Co., Cameron Pass",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-16.1,,,Deltocephalinae,Chiasmini,,,Athysanella,,texana,,M,,,2020,Usa,18-VII-2020,C.H. Dietrich,sweep,USA,"39°40'22.0""N","99°08'30.9""W",,Kansas,,,,,,,,,,,,,,,,,neg,,
GoLife,,50-17.1,,,Deltocephalinae,Paralimnini,,,Diplocolenus,,configuratus,,M,,,2020,Usa,18-VII-2020,C.H. Dietrich,sweep,USA,"39°40'22.0""N","99°08'30.9""W",,Kansas,,,,,,,,,,,,,,,,,neg,,
GoLife,,50-18.1,,,Deltocephalinae,Athysanini,,,Ollarianus,,sexmaculatus,,M,,,2008,Mexico,1-4-IV-2008,M.E. Irwin; F.D. Parker,Malaise,Mexico,"27°05'42.0""N","108°45'06.0""W",1062,"Sonora, 25 km NE Alamos, La Posa",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-19.1,,,Deltocephalinae,Athysanini,,,Bonneyana,,sp.,,M,,,2001,Usa,1-Apr-01,,,USA,missing,CA2001.iv.01,,California,,,,,,,,,,,,,,,,,neg,,
GoLife,,50-20.1,,,Deltocephalinae,Deltocephalini,,,Horouta,,lotis,,M,,,2015,Australia,19-Feb-15,C.H. Dietrich,vacuum,Australia,"28°12'33.5""S","153°07'36.4""E",865,QLDLamington N.P. ca. O’Reilly’sGuesthouse,,,,,,,,,,,,,,,,,neg,,
GoLife,,50-21.1,,,Deltocephalinae,Phlepsiini,,,Phlepsanus,,denudatus,,M,,,2010,Usa,15-31-VII-2010,M.E. Irwin,Malaise,USA,"33°13'18.0""N","112°45'31.8""W",200,Arizona,,,,,,,,,,,,,,,,,neg,,
GoLife,,50-22.1,,,Deltocephalinae,Deltocephalini,,,Horouta,,aristarche,?,F,,,2015,Australia,22-Feb-15,C.H. Dietrich,vacuum,Australia,"27°22'22.1""S","152°10'40.8""E",768,QLD RavensbourneN.P.,,,,,,,,,,,,,,,,,neg,,
GoLife,,50-23.1,,,Deltocephalinae,Deltocephalini,,,Haldorus,,n.sp.BR1,,M,,,2015,Brazil,16-Mar-15,C.H. Dietrich,sweep,Brazil,"20°04'17.9""S","43°29'17.7""W",1076,"MG, Santuariodo Caraça, Cascatona Trl., sweep forest understory",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-26.1,,,Deltocephalinae,Scaphytopiini,,,Scaphytopius,,thea,,M,,,2015,Brazil,13-Mar-15,C.H. Dietrich,Hg light,Brazil,"20°05'55.6""S","43°29'12.4""W",1280,"MG, Santuariodo Caraça, Lobo Guará Trl.",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-27.1,,,Deltocephalinae,Deltocephalini,,,n.gen.BR1,,n.sp.1,,M,,,2015,Brazil,13-Mar-15,C.H. Dietrich,vacuum,Brazil,"20°05'33.9""S","43°29'56.6""W",1300,"MG, Santuariodo Caraça",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-28.1,,,Deltocephalinae,Pendarini,,,Chlorotettix,,sp.,,F,,,2015,Brazil,13-Mar-15,C.H. Dietrich,vacuum,Brazil,"20°05'33.9""S","43°29'56.6""W",1300,"MG, Santuariodo Caraça",,,,,,,,,,,,,,,,,pos,32.18,
GoLife,,50-30.1,,,Deltocephalinae,Deltocephalini,,,Deltella,,decisa,,M,,,2020,Usa,3-Jun-20,C.H. Dietrich,,USA,"41°36'26.3""N","89°23'00""W",,"IL: Hardin Co., Humm Wye",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-31.1,,,Deltocephalinae,Deltocephalini,,,Polyamia,,weedi,,M,,,2020,Usa,3-Jun-20,C.H. Dietrich,,USA,"41°36'26.3""N","89°23'00""W",,"IL: Hardin Co., Humm Wye",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-32.1,,,Deltocephalinae,Deltocephalini,,,Polyamia,,brevipennis,,M,,,2020,Usa,3-Jun-20,C.H. Dietrich,,USA,"41°36'26.3""N","89°23'00""W",,"IL: Hardin Co., Humm Wye",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-33.1,,,Deltocephalinae,Athysanini,,,Mesadorus,,undatus,,F,,,2020,Usa,24-Aug-20,C.H. Dietrich,,USA,"40°11'29.7""N","90°04'22.9""W",,"IL: Mason Co., Sand Prairie-Scrub Oak NP",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-34.1,,,Deltocephalinae,Paralimnini,,,Flexamia,,grammica,,M,,,2020,USA,24 Agu 2020,,,USA,"40°11'29.7""N","90°04'22.9""W",,"IL: Mason Co., Sand Prairie-Scrub Oak NP 24-Aug-2020 CH Dietrich",,,,,,,,,,,,,,,,,neg,,
GoLife,,50-35.1,,,Deltocephalinae,Deltocephalini,,,Polyamia,,similaris,,M,,,2020,Usa,25-Aug-20,C.H. Dietrich,vacuum,USA,"40°05'15""N","89°57'50""W",,IL: Menard Co. Witter's Bobtown Hill Prairie NP,,,,,,,,,,,,,,,,,neg,,
GoLife,,50-36.1,,,Deltocephalinae,Deltocephalini,,,Polyamia,,interrupta,,M,,,2020,Usa,24-Aug-20,C.H. Dietrich,,USA,"40°11'29.7""N","90°04'22.9""W",,"IL: Mason Co., Sand Prairie-Scrub Oak NP",,,,,,,,,,,,,,,,,neg,,
GoLife,,35-63.1,,,Deltocephalinae,Scaphoideini,,,Scaphoideus,,n.sp.,,M,,,2015,Australia,19-Feb-15,C.H. Dietrich,vacuum,Australia,"28°12'33.5""S","153°07'36.4""E",865,Lamington N.P. ca. O’Reilly’s Guesthouse,,,,,,,,,,,,,,,,,neg,,
GoLife,,35-67.1,,,Deltocephalinae,Hecalini,,,Hecalus,,feithailandus,,M,,,2005,Mexico,25-X-2005,C.H. Dietrich,vacuum,Mexico,"23°39'11.5""N","105°44'45.4""W",2400,40 km164 ca. Los Bancos,,,,,,,,,,,,,,,,,neg,,
GoLife,,35-65.1,,,Deltocephalinae,Drabescini,,Paraboloponina,Carvaka,,,,M,,,2015,Australia,27 Feb. 2015,C.H. Dietrich,Hg/UV lights,Australia,"17°18'41.0""S","145°41'59.3""E",750,QLD ca.Malanda Rose Gum Retreat,,,,,,,,,,,,,,,,,neg,,
,,,,,,,,,,,,,,,,,,,,,,,,,lights in 2º rainforest,,,,,,,,,,,,,,,,,,,
GoLife,,35-66.1,,,Deltocephalinae,Deltocephalini,,,Haldorus,,,,M,,,2015,Brazil,17-Mar-15,C.H. Dietrich,vacuum,Brazil,"20°26'30.1""S","43°33'48.1""W",1250,"MG, jct. MG Rt. 129 & Lavras Novas Rd",,,,,,,,,,,,,,,,,neg,,
GoLife,,35-67.1,,,Deltocephalinae,Hecalini,,,Hecalus,,feithailandus,,M,,,2005,Mexico,25-Oct-05,C.H. Dietrich,vacuum,Mexico,"23°39'11.5""N","105°44'45.4""W",2400,DUR:rt.40 km164 ca. Los Bancos\,,,,,,,,,,,,,,,,,neg,,
GoLife,,35-68.1,,,Deltocephalinae,Deltocephalini,,,Cortona,,n.sp.,,M,,,2015,Brazil,16-Mar-15,C.H. Dietrich,vacuum,Brazil,"20°06'24.4""S","43°28'38.5""W",1261,"MG, Santuario do Caraça, Lobo Guará Trl. ca. waterfall",,,,,,,,,,,,,,,,,pos,34.7,
GoLife,,35-69.1,,,Deltocephalinae,Cochlorhinini,,,Eulonus,,almus,,M,,,2005,Mexico,19-X-2005,C.H. Dietrich,sweep,Mexico,"19°12'13.6""N","99°48'37.0""W",3120,km1 Volcan Toluca rd.,,,,,,,,,,,,,,,,,neg,,
GoLife,,35-70.1,,,Deltocephalinae,Macrostelini,,,Balclutha,,n.sp.,,M,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,35-71.1,,,Deltocephalinae,Athysanini,,,Napo,,sp.3,,M,,,2011,Brazil,14.v.2011,"Cavichioli, Gonçalves, D.M. Takiya",light trap ,Brazil,"7°21'47.0""S","71°52'07.0""W",175,"AM, Ipixuna, Rio Liberdade, Com. São Vicente no Estirão da Preta 11-14.v.2011  ",,,,,,,,,,,,,,,,,neg,,
GoLife,,35-72.1,,,Deltocephalinae,Athysanini,,,Napo,,sp.4,,M,,,2011,Brazil,14.v.2011,"Cavichioli, Gonçalves, D.M. Takiya",light trap ,Brazil,"7°21'47.0""S","71°52'07.0""W",175,"AM, Ipixuna, Rio Liberdade, Com. São Vicente no Estirão da Preta",,,,,,,,,,,,,,,,,neg,,
GoLife,,35-73.1,,,Deltocephalinae,Paralimnini,,,Laevicephalus,,ustulatus,,M,,,2001,Mexico,19-Oct-01,C.H. Dietrich,vacuum,Mexico,"21°53'27.0""N","101°38'18.0""W",2260,"Jalisco, 7km W Ojuelos de Jalisco",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-4.1,,,Deltocephalinae,Bahitini,,,Kinrentius,,constrictus,,M,,,2009,Peru,13–18.ix.2009,M.E. Irwin,Malaise,Peru,"10°09'04.2""S","77°28'40.2""W",2050,"PERU, ANCASH REGION; 10 km W Cajacay, Rt 16, Km 78",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-6.1,,,Deltocephalinae,Hecalini,,Hecalina,Parabolocratalis,,apicalis,,M,,,2015,South Africa,26.iv.2015,M. Stiller,vacuum,South Africa,"27°50'15.6""S","25°53'40.5""E",,"South Africa: Free State, Hoopstad",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-7.1,,,Deltocephalinae,Selenocephalini,,Adamina,Adama,,elongata,,M,,,2011,Tanzania,11-IV-2011,T.A. Catanach,light,Tanzania,"4°48'49.3""S","33°42'40.7""E",356,"Tanzania: Tadora, 8 km SE Mbuyuni",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-8.1,,,Eurymelinae,Austroagalloidini,,,Austroagalloides,,brunnea,,M,,,2004,Australia,21-Jan-04,"Hill, Marshall, Cooley, Moulds",light,Australia,missing,NYSM 03-12-09-40,,04-NTR- EDT,,,,,,,,,,,,,,,,,neg,,
GoLife,,38-9.1,,,Megophthalminae,Megophthalmini,,,Megophthalmus,,scabripennis,,M,,,2008,Spain,30.v-6.vi.2008,M.E. Irwin,Malaise,Spain,"41°02'56.4""N","0°35'25.8""E",160,"Catalunya Ribera D'Ebre. 1/5km N Miravet , in dry , vegetated draw",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-10.1,,,Mileewinae,Tungurahualini,,,Ilyapa,,n.sp.,,M,,,2008,Peru,24-31x2008,M.E. Irwin & Ganton Amsya,,Peru,"5°41'23.0""S","77°38'13.0""W",1125,"Amazonas Aguns Verdes , Bagna , Tarapoto RD 5N km 403",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-11.1,,,Mileewinae,Tungurahualini,,,Ilyapa,,n.sp.,,M,,,2005,Peru,5-III.2005,M.E. Irwin & G Antón Amaya,sweep,Peru,"5°57'24.6""S","77°58'30.6""W",2165,Peru M.E.I 09-1 Amazonas Prov; 6 km E Carrera; km 315 Bagua Rd marker,,,,,,,,,,,,,,,,,neg,,
GoLife,,38-12.1,,,Tartessinae,Tartessini,,,Tartessus,,n.sp.,,M,,,2009,Malaysia,5-26 Jan 2009,S. Krishnankutty,,Malaysia,"4°04'15.0""N","114°51'22.8""E",,"Sarawak; Gunung Mulu National Park, near hdqtrs",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-13.1,,,Evacanthinae,Nirvanini,,,Kana,,decora,,M,,,2009,Malaysia,5-26 Jan 2009,S. Krishnankutty,,Malaysia,"4°04'15.0""N","114°51'22.8""E",,"Sarawak; Gunung Mulu National Park, near hdqtrs",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-14.1,,,Ulopinae,Ulopini,,-,Conlopa,,bredoni,,F,,,2009,Eswatini,9-Dec,T.A. Catanach,,Eswatini,"26°18'35.4""S","31°59'30.2""E",527,Mlawula Nature Reserve,,,,,,,,,,,,,,,,,pos,32.78,
GoLife,,38-20.1,,,Nioniinae,Nioniini,,,Nionia,,major,,M,,,2002,Peru,24-Oct-02,C.H. Dietrich,,Peru,"9°21'27.0""S","75°59'32.0""W",620,"Tingo María, Pte.Cuevas",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-20.2,,,Nioniinae,Nioniini,,,Nionia,,gagatina,,M,,,2002,Peru,24-Oct-02,C.H. Dietrich,,Peru,"9°21'27.0""S","75°59'32.0""W",620,"Tingo María, Pte.Cuevas",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-20.3,,,Nioniinae,Nioniini,,,Nionia,,minor,,M,,,2002,Peru,24-Oct-02,C.H. Dietrich,,Peru,"9°21'27.0""S","75°59'32.0""W",620,"Tingo María, Pte.Cuevas",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-20.5,,,Nioniinae,Nioniini,,,Nionia,,n.sp.1,,M,,,2002,Peru,24-Oct-02,C.H. Dietrich,,Peru,"9°21'27.0""S","75°59'32.0""W",620,"Tingo María, Pte.Cuevas",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-25.1,,,Mileewinae,Tinteromini,,,Tinteromus,,n.sp.,,M,,,2002,Peru,6-9.X.2002,"D.M. Takiya, C. Pena, R. Rakitov",Malaise,Peru,"10°11'09.0""S","75°34'27.1""W",1050,Pasco Yanachaga-Chemillen N.P. Huampal Station,,,,,,,,,,,,,,,,,neg,,
GoLife,,38-26.1,,,Mileewinae,Makilingiini,,,Makilingia,,panayensis,,M,,,2010,Philippines,25-27Aug2010,Amohagan,,Philippines,missing,,,Mt Canladk,,,,,,,,,,,,,,,,,neg,,
GoLife,,38-27.1,,,Hylicinae,Sudrini,,,Balala,,n.sp.,,M,,,2006,Thailand,5-6.vii.2006,Patikhom Tumtip,pan trap,Thailand,"17°28'49.6""N","101°21'19.8""E",860,Loei Phu Ruea NP office,,,,,,,,,,,,,,,,,neg,,
GoLife,,38-29.1,,,Iassinae,Gyponini,,,Scaris,,ornata,,M,,,2009,Bolivia,13.XI.2009,G.J. Svenson,Hg/UV lights,Bolivia,"17°30'52.0""S","63°40'14.7""W",334,"BOLIVIA: Dpto. Santa Cruz, nr.; Buena Vista",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-33.1,,,Evacanthinae,Evacanthini,,,Evacanthus,,nigramericanus,,M,,,2016,Usa,3-Jun-16,C.H. Dietrich,sweep,USA,"40°05'21.5""N","87°49'56.3""W",,"Illinois, Vermilion Co. 1.5mi SSE Municie",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-34.1,,,Eurymelinae,Chiasmodolini,,,Rotundicerus,,n.sp.,,M,,,2008,French Guiana,1 Feb. 2008,H. Romack,,French Guiana,"4°33'49.9""N","52°12'04.9""W",,Kaw Mountain Reserve; 0.5km Rt. Rd. de Kaw (the hole); 1 H. Romack 2008,,,,,,,,,,,,,,,,,pos,27.3,
GoLife,,38-47.1,,,Eurymelinae,Macropsini,,,Macropsidius,,niger,,M,,,2005,Israel,9-12.V.2005,M.E. Irwin,Malaise,Israel,"31°42'55.8""N","34°35'59.4""E",25,"ISRAEL, Nizzanim Nature Res",,,,,,,,,,,,,,,,,neg,,
GoLife,,38-42.1,,,Deltocephalinae,Opsiini,,,Orosius,,n.sp.IN1,,M,,,,Indonesia,missing,,,Indonesia,missing,IN.WP.BES,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-58.1,,,Deltocephalinae,Drabescini,,Paraboloponina,n.gen.PH3,,n.sp.1,,M,,,2012,Philippines,22-Apr-12,T.A. Catanach,light,Philippines,"7°14'14.3""N","125°38'05.9""E",43,"Mindanao, Banauan Brgy. Bacnuten",,,,,,,,,,,,,,,,,pos,31.13,
GoLife,,42-64.1,,,Deltocephalinae,Scaphytopiini,,,Scaphytopius,,n.sp.5,,M,,,2002,Peru,20-Oct-02,D.M. Takiya,,Peru,"10°46'17.0""S","75°09'03.0""W",850,Junín Alto Yurinaqui,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-72.1,,,Deltocephalinae,Deltocephalini,,,Polyamia,,brevipennis,,M,,,2017,Usa,10-Jun-17,,,USA,"34°24'32.4""N","77°46'26.4""W",0,"NC, Pender Co. Rt. 121 N. Hampstead",,,,,,,,,,,,,,,,,neg,,
GoLife,,42-74.1,,,Deltocephalinae,Paralimnini,,,n.gen.T1,,n.sp.1,,M,,,2007,Thailand,1-7.vi.2007,Katae Sa-nog & Buakaw Adnafai,Malaise,Thailand,"15°39'58.0""N","101°27'11.9""E",357,Chaiyaphum PaHin Ngam NP Deciduous forest,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-75.1,,,Deltocephalinae,Paralimnini,,,Multiproductus,,n.sp.,,M,,,2007,Thailand,1-7.vi.2007,Katae Sa-nog & Buakaw Adnafai,Malaise,Thailand,"15°39'58.0""N","101°27'11.9""E",357,Chaiyaphum PaHin Ngam NP Deciduous forest,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-76.1,,,Deltocephalinae,Deltocephalini,,,Graminella,,nigripennis,,F,,,2017,Usa,1-May-17,C.H. Dietrich,UV lights,USA,"27°17'23.0""N","82°15'10.1""W",,FL: Sarasota Co. Myakka River. St. Pk. North gate,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-79.1,,,Deltocephalinae,Selenocephalini,,,Distantia,,n.sp.,,M,,,2005,Ghana,7-9/VI/2005,"J.R. Cryan, J.M. Urban",,Ghana,"5°16'54.2""N","2°38'27.1""W",350,Western Region; Ankasa Resource Reserve; Nkwanta Camp,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-77,,,Deltocephalinae,Scaphytopiini,,,Scaphytopius,,acutus,,M,,,2017,Usa,21-Jun-17,C.H. Dietrich,light,USA,"40°23'38.4""N","89°52'01.2""W",165,IL: Mason Co. Sand Ridge St. For. Turkey Pass Picnic Area,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-62.1,,,Deltocephalinae,Scaphytopiini,,,Scaphytopius,,bolivianus,,M,,,2002,Peru,20-Oct-02,D.M. Takiya,,Peru,"10°46'17.0""S","75°09'03.0""W",850,Junín Alto Yurinaqui,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-51.1,,,Deltocephalinae,Opsiini,,Opsiina,Navaia,,n.sp.,,M,,,,Fiji,missing,,,Fiji,missing,FBA107161,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-54.1,,,Deltocephalinae,Penthimiini,,,Vulturnus,,dido,,M,,,,Fiji,missing,,,Fiji,missing,FBA126350,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-55.1-,,,Deltocephalinae,Drabescini,,Paraboloponina,Hybrasil,,brani,,M,,,,Fiji,missing,,,Fiji,missing,FB010808,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-59.1,,,Deltocephalinae,Drabescini,,Paraboloponina,n.gen.PH4,,n.sp.1,,M,,,2012,Philippines,3-May-12,T.A. Catanach,light,Philippines,"8°09'54.5""N","124°55'57.5""E",1773,"Mindanao, trail to top of Mt. Kitanglad",,,,,,,,,,,,,,,,,neg,,
GoLife,,42-52.1+,,,Deltocephalinae,Scaphoideini,,,n.gen.PH2,,n.sp.1,,M,,,2012,Philippines,1-Apr-12,T.A. Catanach,,Philippines,"8°09'37.8""N","124°55'54.0""E",1885,"Mindanao, Bukidnon, Mt. Kitanglad summit trail",,,,,,,,,,,,,,,,,pos,32.5,
GoLife,,42-50.1,,,Deltocephalinae,Opsiini,,Opsiina,Navaia,,n.sp.,,M,,,,Fiji,missing,,,Fiji,missing,FBA070709,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-49.1,,,Deltocephalinae,Opsiini,,Opsiina,Kirkaldiella,,n.sp.FI2,,M,,,2004,Fiji,13-ii-2004,"M. Irwin, E. schlinger",Malaise,Fiji,"17°37'00.0""S","177°59'00.0""E",,Viti levu Isl.Naitaari Prov Navai Village Eteni,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-48.1,,,Deltocephalinae,Opsiini,,Opsiina,Navaia,,filicola,,M,,,,Fiji,missing,,,Fiji,missing,FBA55206,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-46.1,,,Deltocephalinae,Opsiini,,Opsiina,Kirkaldiella,,n.sp.FI1,,M,,,,Fiji,missing,,,Fiji,missing,FBA043811,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,45-11.1,,,Deltocephalinae,Bonaspeiini,,,Tzitzikamaia,,n.sp.,?,M,,,2004,South Africa,4–24.X.2004,"M.E. Irwin, F.D. Parker, M. Hauser",Malaise,South Africa,31°56’15”S,20°16’33”E,1250,"South Africa, Western Cape; 74 km NNW Sutherland",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-12,,,Deltocephalinae,Athysanini,,,n.gen.AU9,,n.sp.1,,M,,,,Australia,missing,,,Australia,missing,AU.WA.LVQ,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,45-13.1,,,Deltocephalinae,Bonaspeiini,,,Hadroca,,ramosa,,M,,,2004,South Africa,8-XII-2004,J.N. Zahniser,sweep,South Africa,"33°59'39.6""S","18°39'30.8""E",,"WCape Prov., Driftsands Nat. Res.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-14.1,,,Deltocephalinae,Paralimnini,,,Coganus,,breviatus,,M,,,2004,South Africa,5-XII-2004,J.N. Zahniser,sweep,South Africa,"33°57'04.4""S","18°38'03.8""E",66.5,"WCape Prov., Eersterivier",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-15.1,,,Deltocephalinae,Paralimnini,,,Limotettix,,obtusivalvis,,M,,,2010,France,28.vi-3.vii.2010,J.N. Zahniser,,France,missing,,,FRANCE: Provence-Alpes Cote d'Azur Vaucluse: Vaison-la-Romaine,,,,,,,,,,,,,,,,,neg,,
GoLife,,45-16.1,,,Deltocephalinae,Cochlorhinini,,,Calonia,,signata,,M,,,2004,Usa,27-v-2004,"J. Urban, K. Kinser",,USA,"34°30'00.0""N","114°40'00.0""W",,"California; San Bernardino Co.; Needles, Mojave Desert",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-17.1,,,Deltocephalinae,Mukariini,,,n.gen.T2,,n.sp.1,,M,,,2007,Thailand,10-17.ii.2007,Bunlu Sapsiri,Malaise,Thailand,"15°24'34.9""N","105°30'56.1""E",250,Ubon Ratchathani Pha Taem NP Don Rong pond,,,,,,,,,,,,,,,,,neg,,
GoLife,,45-18.1+,,,Deltocephalinae,Bonaspeiini,,,Curvostylus,,chloridulus,,M,,,2004,South Africa,13-XII-2004,J.N. Zahniser,sweep,South Africa,"33°14'16.5""S","19°19'31.4""E",945,"SOUTH AFRICA: WCape Prov. Gydo Pass, N Prince Alfred Hamlet",,,,,,,,,,,,,,,,,pos,33.69,
GoLife,,45-19.1,,,Deltocephalinae,Bonaspeiini,,,n.gen.SA6,,n.sp.1,,M,,,2004,South Africa,16-XII-2004,J.N. Zahniser,sweep,South Africa,"33°58'29.5""S","19°10'21.6""E",328,"WCape Prov., Theewaterskloof Dam, Franschhoek-Villiersdorp Rd.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-11.1,,,Deltocephalinae,Bonaspeiini,,,Tzitzikamaia,,n.sp.,?,M,,,2004,South Africa,4–24.X.2004,"M.E. Irwin, F.D. Parker, M. Hauser",Malaise,South Africa,31°56’15”S,20°16’33”E,1250 m,"South Africa, Western Cape; 74 km NNW Sutherland",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-12.1,,,Deltocephalinae,Athysanini,,,n.gen.AU9,,n.sp.1,,M,,,,Australia,missing,,,Australia,missing,AU.WA.LVQ,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,45-13.1,,,Deltocephalinae,Athysanini,,,n.gen.AU9,,n.sp.1,,M,,,2004,South Africa,8-XII-2004,J.N. Zahniser,sweep,South Africa,"33°59'39.6""S","18°39'30.8""E",,"WCape Prov., Driftsands Nat. Res.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-14.1,,,Deltocephalinae,Paralimnini,,,Coganus,,breviatus,,M,,,2004,South Africa,5-XII-2004,J.N. Zahniser,sweep,South Africa,"33°57'04.4""S","18°38'03.8""E",66.5,"WCape Prov., Eersterivier",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-15.1,,,Deltocephalinae,Paralimnini,,,Limotettix,,obtusivalvis,,M,,,2010,France,28.vi-3.vii.2010,J.N. Zahniser,,France,missing,,,FRANCE: Provence-Alpes Cote d'Azur Vaucluse: Vaison-la-Romaine 28.vi-3.vii.2010 col. JN Zahniser,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-16.1,,,Deltocephalinae,Acostemmini,,,n.gen.,,n.sp.,,M,,,2004,Usa,27-v-2004,"J. Urban, K. Kinser",,USA,"34°30'00.0""N ","114°40'00.0""W",,"California; San Bernardino Co.; Needles, Mojave Desert",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-17.1-,,,Deltocephalinae,Mukariini,,,n.gen.T2,,n.sp.1,,M,,,2007,Thailand,10-17.ii.2007,Bunlu Sapsiri,Malaise,Thailand,"15°24'34.9""N","105°30'56.1""E",250,Ubon Ratchathani Pha Taem NP Don Rong pond,,,,,,,,,,,,,,,,,neg,,
